Week,Number of Orders,Weekly GMV
1,3290,626960.74
2,2104,399939.37
3,2104,382915.47
4,2134,416062.02
5,2381,453412.29
6,2832,551368.8
7,2926,549554.28
8,2880,522339.41
9,3075,569303.84
10,3297,625804.13
11,3299,583312.94
12,3311,615191.16
13,3221,649591.14
14,4040,756292.86
15,4174,740969.83
16,4127,776323.81
17,4014,796981.97
18,3669,751362.28
19,3584,706081.22
20,3651,679251.06
21,3585,696265.24
22,3399,655473.47
23,3012,598450.93
24,3091,581250.53
25,2967,597708.12
26,3040,563909.99
27,3117,586112.99
28,3103,596933.98
29,3150,606011.18
30,3100,545378.9
31,2732,528208.11
32,2622,543393.67
33,2577,483521.57
34,2576,476713.89
35,2641,477424.17
36,2558,468057.22
37,2686,526553.55
38,2600,425374.49
39,2622,491530.4
40,4099,781734.63
41,4341,810943.18
42,4343,821862.12
43,4510,824720.36
44,4188,798799.46
45,3963,730843.42
46,3850,690681.76
47,3997,753029.79
48,4115,774104.8
49,5317,1027395.13
50,5477,1015425.97
51,5472,1051749.15
52,5474,989018.68
